鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段,7.54,住,,,2023-04-28,土地9建物1車位1,十五層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,109.47,2,1,1,有,無,24510000,287023,坡道平面,30.87,1950000,,RPPOMLQJNHIGFBA47CB,當代一號院,A棟06號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-04-22,土地40建物1車位1,十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.43,2,2,2,有,無,28000000,289814,坡道平面,27.27,2450000,,RPPNMLRJNHIGFBA47CB,首岳,B棟B3-13F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,12.37,商,,,2023-04-22,土地40建物1車位1,十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,189.34,3,2,2,有,無,46000000,266860,坡道平面,27.27,2750000,雨遮不計價,RPQNMLRJNHIGFBA57CB,首岳,B棟B4-13F號,
大同區,房地(土地+建物),臺北市大同區寧夏路88號,4.78,商,,,2023-04-21,土地40建物1車位0,四層,26,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,63.76,0,0,0,無,無,15980000,250627,,0.0,0,一般事務所,RPRNMLRJNHIGFBA67CB,首岳,B棟B5-4F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,6.89,商,,,2023-04-23,土地40建物1車位1,十七層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.41,2,2,2,有,無,26700000,276832,坡道平面,27.27,2300000,,RPSNMLRJNHIGFBA77CB,首岳,B棟B5-17F號,
大同區,房地(土地+建物)+車位,臺北市大同區寧夏路88號,12.37,商,,,2023-04-19,土地40建物1車位1,七層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,189.34,3,2,2,有,無,44500000,259764,坡道平面,27.27,2400000,雨遮不計價交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRJNHIGFBA87CB,首岳,B棟B7-7F號,
大同區,房地(土地+建物),臺北市大同區寧夏路88號,6.52,商,,,2023-04-17,土地40建物1車位0,十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,88.16,2,2,2,有,無,25350000,287545,,0.0,0,,RPUNMLRJNHIGFBA97CB,首岳,B棟B9-15F號,
南港區,房地(土地+建物),臺北市南港區福山街44巷5號,14.09,住,,,2023-05-07,土地3建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.87,2,2,1,有,無,18820000,254772,,0.0,0,,RPPNMLRJNHIGFDA67CB,中研首席,A8-4F號,
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,,,2023-05-07,土地3建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.09,2,2,1,有,無,21450000,252968,坡道平面,36.97,2700000,,RPQNMLRJNHIGFDA77CB,中研首席,A3-5F號,
南港區,房地(土地+建物),臺北市南港區福山街44巷5號,14.14,住,,,2023-04-29,土地3建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.14,2,2,1,有,無,19120000,257890,,0.0,0,,RPRNMLRJNHIGFDA87CB,中研首席,A5-9F號,
